,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
8992,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 107 U.t.,Conventional Hydrocarbon,,1965-09-22,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.015,7.6,19600,586,112,11400,,37,7410,<MDL,<MDL,
9044,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 110 M.t.,Conventional Hydrocarbon,,1965-09-22,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.025,7.5,33300,195,324,20100,,61,12600,2,<MDL,
11165,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 111 L.t.,Conventional Hydrocarbon,,1965-09-22,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.023,7.2,31000,220,412,18700,,46,11600,2,<MDL,
11176,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 111 U.t.,Conventional Hydrocarbon,,1965-09-22,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.019,7.6,26000,463,284,15400,,39,9760,5,<MDL,
11193,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 12 U.t.,Conventional Hydrocarbon,,1965-09-22,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.019,7.2,25500,384,220,15200,,39,9670,1,<MDL,
11200,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 113 L.t.,Conventional Hydrocarbon,,1965-09-22,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.018,7.3,24400,268,264,14600,,37,9190,9,<MDL,
11237,31.079,-95.584,,East Texas,Houston,Pure - J. N. Maples No. 1,Conventional Hydrocarbon,,1965-09-22,Edwards,Unknown,,,,1.067,5,89400,566,12200,55000,,878,20400,330,<MDL,
11238,31.079,-95.584,,East Texas,Houston,Pure - Bruton No. 1-a,Conventional Hydrocarbon,,1965-09-22,Edwards,Unknown,,,,1.013,5.1,14900,322,1950,9010,,115,3420,7,<MDL,
4085,26.8303,-98.6886,4.2247E+13,Gulf Coast,Jim Hogg,A. C. Jones #63,Conventional Hydrocarbon,,1965-09-19,Yegua Lower H,Unknown,5968,5971,6100,1.0074,8.5,15249,1729.71,20.15,7735.82,,18.13,5656.55,88.65,,
7489,26.285,-97.587,,Gulf Coast,Willacy,Willamar West Unit Source 28,Conventional Hydrocarbon,,1965-09-16,2552 Sand,Unknown,,,,1.087,5.7,131185,13.04,4956,78590.1,,2043.56,42756.06,2826.2,,
10093,26.285,-97.587,,Gulf Coast,Willacy,Willamar West Unit #1 & 2,Conventional Hydrocarbon,,1965-09-16,2552 Sand,Unknown,,,,1.087,6.2,132332,68.48,5087,80546.7,,2152.26,43032.16,1445.71,,
2877,32.1674,-100.6234,4.2353E+13,Permian,Nolan,Swnlu #31-7,Conventional Hydrocarbon,,1965-09-14,Strawn Reef,Unknown,7060,7074,7140,1.041,6.8,61348,251.92,3663,37455.18,,542.36,19248.09,187.38,,
4139,28.8617,-97.0665,4.2469E+13,Gulf Coast,Victoria,Wedemeier G. U. #1,Conventional Hydrocarbon,,1965-09-14,Unknown,Unknown,12972,12984,13753,1.012,7.67,23482,1225.53,294.49,13125.64,,52.62,8617.18,166.98,,
4140,28.8617,-97.0665,4.2469E+13,Gulf Coast,Victoria,Wedemeier G. U. #1,Conventional Hydrocarbon,,1965-09-14,Unknown,Unknown,12972,12984,13753,1.0133,7.59,23454,1261.56,293.86,13122.24,,61.81,8592.78,122.61,,
11243,28.413,-98.532,,Gulf Coast,Mc Mullen,Standard Oil Texas - Horton No. 1,Conventional Hydrocarbon,,1965-09-14,Edwards,Unknown,11470,11553,,1.036,5.7,49200,68,4720,30300,,390,13500,32,<MDL,
11244,27.784,-98.507,,Gulf Coast,Mc Mullen,Humble - C. Wheeler No. 3,Conventional Hydrocarbon,,1965-09-14,Edwards,Unknown,10320,10360,,1.104,6.6,140000,649,13400,86200,,1490,38000,42,312,
11245,27.784,-98.507,,Gulf Coast,Mc Mullen,Humble - L. M. Gubbel No. 1,Conventional Hydrocarbon,,1965-09-14,Edwards,Unknown,9828,10056,,1.006,6.9,7240,439,1360,4110,,130,1080,117,176,
11262,27.678,-98.656,,Gulf Coast,Mc Mullen,Humble Smith & Dilworth No. 2,Conventional Hydrocarbon,,1965-09-14,Edwards,Unknown,10670,10765,,1.005,7.8,16200,10800,76,810,,3,4510,25,586,
11263,27.678,-98.656,,Gulf Coast,Mc Mullen,Humble - Dilworth No. 3,Conventional Hydrocarbon,,1965-09-14,Edwards,Unknown,10801,10833,,1.05,4.2,61300,<MDL,20000,39400,,659,1160,44,147,
4020,26.4108,-98.5765,4.2427E+13,Gulf Coast,Starr,Chapotal Land Co. a #18,Conventional Hydrocarbon,,1965-09-13,Unknown,Unknown,4985,4988,5232,1.0106,8.1,17995,834.76,97.02,10232.33,,10.11,6821.55,<MDL,,
2859,32.1922,-100.6188,4.2353E+13,Permian,Nolan,L. R. Spires C-3,Conventional Hydrocarbon,,1965-09-12,Strawn Reef,Unknown,7103,7120,7230,1.0724,5.3,109044,48.26,6272,67159.05,,1232.19,34139.85,193.03,,
4142,28.7475,-96.8333,4.2469E+13,Gulf Coast,Victoria,C. A. Thormahlen #1h,Conventional Hydrocarbon,,1965-09-12,Knott,Unknown,5614,5619,6795,1.046,6.86,70194,107.74,2071,42791.86,,234.3,24978.48,11.51,,
4138,28.8617,-97.0665,4.2469E+13,Gulf Coast,Victoria,Wedemeier G. U. #1,Conventional Hydrocarbon,,1965-09-11,Unknown,Unknown,13164,13190,13753,1.0092,7.59,16531,960.76,241.2,9214,,33.3,6024.92,57.52,,
5889,27.262,-97.165,,Gulf Coast,Nueces,Corpus Christi State 443-1,Conventional Hydrocarbon,,1965-09-11,Common Zone 10,Unknown,7231,7252,7303,1.0679,7.13,101691,96.11,6496,61607.15,,825.49,31524.41,1142.65,,
4374,32.0961,-102.6952,4.2003E+13,Permian,Andrews,Embar B #5,Conventional Hydrocarbon,,1965-09-10,Devonian,Unknown,9061,9090,9665,1.079,6.7,118467,57,5515,71065,,1127,38500,1886,,
6204,26.277,-98.566,,Gulf Coast,Starr,Chapotal A #18,Conventional Hydrocarbon,,1965-09-10,4900 Ft Rincon,Unknown,4994,4996,5081,1.0101,7.75,18978,780.81,46.46,10818.17,,9.09,7267.67,56.57,,
11267,27.931,-98.185,,Gulf Coast,Atascosa,Gulf - W. T. Hart #3,Conventional Hydrocarbon,,1965-09-10,Edwards,Unknown,10802,10822,,1.139,6.2,191000,244,17600,118000,,1520,53500,32,<MDL,
11301,27.974,-98.619,,Gulf Coast,Atascosa,Humble - Gulf - S.p.j.s.t. Lodge No. 2,Conventional Hydrocarbon,,1965-09-10,Edwards,Unknown,7401,7408,,1.13,6.2,179000,249,16300,111000,,2370,49100,365,17,
4371,32.133,-102.7286,4.2003E+13,Permian,Andrews,Univ. Andrews #59,Conventional Hydrocarbon,,1965-09-09,Ellenburger,Unknown,7775,,7985,1.032,6.7,51197,247,2286,30536,,453,16754,752,,
4372,32.1284,-102.7684,4.2003E+13,Permian,Andrews,Texas Univ. Dd #8,Conventional Hydrocarbon,,1965-09-09,Devonian,Unknown,8090,8270,8295,1.103,4.1,158711,<MDL,8945,94985,,1108,50563,2921,,
4373,32.14,-102.7191,4.2003E+13,Permian,Andrews,Univ. Andrews #28,Conventional Hydrocarbon,,1965-09-09,Ellenburger,Unknown,7760,,8010,1.034,6.7,54667,187,1757,32366,,571,18456,1071,,
4377,32.1138,-102.75,4.2003E+13,Permian,Andrews,University Bb #1,Conventional Hydrocarbon,,1965-09-09,Clear Fork Upper,Unknown,5608,,5800,1.138,6.3,239963,54,11037,128000,,814,97845,1395,,
11292,28.177,-97.559,,Gulf Coast,Gonzales,W. O. Baker No. 1,Conventional Hydrocarbon,,1965-09-08,Edwards,Unknown,11942,12262,,1.001,6.9,1580,146,156,852,,16,400,5,<MDL,
11354,28.891,-97.669,,Gulf Coast,Karnes,Kawitt G. Unit 2 No. 1,Conventional Hydrocarbon,,1965-09-08,Edwards,Unknown,13805,13907,,1.104,6.3,139000,234,15600,85800,,1100,35400,<MDL,<MDL,
11298,28.016,-98.505,,Gulf Coast,Atascosa,Velma Escondido #5,Conventional Hydrocarbon,,1965-09-07,Escondido Cretaceous,Unknown,4600,,,1.02,7.4,30100,1040,88,17400,,83,11400,<MDL,<MDL,
10035,33.496,-102.174,,Permian,Hockley,W. R. Matthews B #11 - 3,Conventional Hydrocarbon,,1965-09-06,Canyon Reef,Unknown,,,,1.14,6.3,226915,161.88,10396,139080,,1835.4,75031.38,410.4,,
15773,26.7265,-98.4847,4.2427E+13,Gulf Coast,Starr,C L De Garza #23l,Conventional Hydrocarbon,1961-11-21,1965-09-04,Unknown,Unknown,5382,5385,,1,7.83,1660,426,32,605,,2,540,55,,
3655,26.5097,-98.5011,4.2427E+13,Gulf Coast,Starr,T. B. Slick Hb-222 #51,Conventional Hydrocarbon,,1965-09-02,Unknown,Unknown,4030,,5612,1.017,7.3,25900,447,240,15400,,44,9790,7,<MDL,
11299,28.016,-98.505,,Gulf Coast,Atascosa,Velma Escondido #7,Conventional Hydrocarbon,,1965-09-02,Escondido Cretaceous,Unknown,4600,,,1.024,7.5,33500,1060,192,19500,,107,12600,<MDL,<MDL,
8922,26.351,-98.598,,Gulf Coast,Starr,T. B. Slick Hb-222 No. 88,Conventional Hydrocarbon,,1965-09-01,Mixture,Unknown,3980,,,1.017,7.4,25700,246,184,15400,,49,9770,2,<MDL,
3261,31.4257,-102.5509,4.2103E+13,Permian,Crane,Barnsley C #5,Conventional Hydrocarbon,,1965-08-30,San Andres,Unknown,3015,3103,3130,1.066,7.2,97878,558,3100,57300,,2082,31440,3398,<PQL,
6045,33.515,-96.962,,Southern Oklahoma,Cooke,South Dove Unit #1,Conventional Hydrocarbon,,1965-08-28,Strawn,Unknown,2220,2240,2287,1.0942,5.11,137767,24.07,12433,86173.72,,2803.34,36332.91,<MDL,,
4141,28.7475,-96.8333,4.2469E+13,Gulf Coast,Victoria,C. A. Thormanlen #1,Conventional Hydrocarbon,,1965-08-27,Anderson,Unknown,5874,5878,6795,1.0481,5.85,75797,<MDL,2435,46001.11,,344.82,26988.58,27.25,,
14124,29.3276,-98.0168,4.2493E+13,Gulf Coast,Wilson,G B Lucas #1,Conventional Hydrocarbon,,1965-08-27,Poth A,Unknown,1624,1630,1736,1.0003,8.39,4362,805.24,14,1990.6,,27.01,1525.46,<MDL,,
5446,32.85,-101.073,,Permian,Scurry,Revilo-glorietta Ut. 6-4,Conventional Hydrocarbon,,1965-08-26,Glorieta,Unknown,2661,2683,2769,1.0443,7.65,67633,313.29,2354,38134.7,,751.9,22458.72,3619.54,,
6047,33.515,-96.962,,Southern Oklahoma,Cooke,Cox - Church Unit #1,Conventional Hydrocarbon,,1965-08-26,Strawn,Unknown,3586,3774,3630,1.123,4.55,178307,<MDL,17331,111682.35,,3649.75,45644.34,<MDL,,
6053,33.515,-96.962,,Southern Oklahoma,Cooke,Mary Smith #1,Conventional Hydrocarbon,,1965-08-26,Strawn,Unknown,3626,3641,,1.1288,4.53,182233,<MDL,18320,116136.59,,3449.61,47776.46,<MDL,,
16386,33.52418,-96.96412,4.2097E+13,Southern Oklahoma,Cooke,J M Bean #1 #83911,Conventional Hydrocarbon,1954-01-08,1965-08-25,Strawn,Unknown,3613,3632,4270,1.1201,4.25,177249,<MDL,17052,110441.86,,2587.43,47167.41,<MDL,,
6506,32.433,-95.295,,East Texas,Smith,Slu 15 - 1,Conventional Hydrocarbon,,1965-08-24,Paluxy,Unknown,6838,6888,6941,1.0108,7.3,19837,707.56,284.03,11192.59,,49.53,7267.65,336.6,,
10045,33.493,-102.621,,Permian,Hockley,W. G. Frazier # 0 - 1,Conventional Hydrocarbon,,1965-08-24,San Andres,Unknown,4860,4890,5015,1.028,6.2,34129,1984.04,3084,18915.2,,3166.24,4615.72,2364.4,,
5747,27.211,-98.565,,Gulf Coast,Duval,W. K. Hoffman #3,Conventional Hydrocarbon,,1965-08-18,Taranchuas,Unknown,2058,2086,2094,1.0037,7.68,10263,426.57,50.19,5861.61,,4.01,3904.39,17.06,,
5748,27.211,-98.565,,Gulf Coast,Duval,W. K. Hoffman #6,Conventional Hydrocarbon,,1965-08-18,Taranchuas,Unknown,2002,2028,2075,1.0042,8.12,10984,538.25,51.21,6221.02,,2.01,4172.45,<MDL,,
5750,27.211,-98.565,,Gulf Coast,Duval,W. K. Hoffman #7,Conventional Hydrocarbon,,1965-08-18,Taranchuas,Unknown,2041,2066,2074,1.0038,8.21,10433,372.41,45.17,6022.8,,3.01,3990.11,<MDL,,
5753,27.211,-98.565,,Gulf Coast,Duval,W. K. Hoffman #11,Conventional Hydrocarbon,,1965-08-18,Taranchuas,Unknown,2046,2072,2100,1.0039,8.35,10523,384.49,42.16,6061.55,,3.01,4025.64,7.03,,
8934,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 #37 M.t.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2,Unknown,,,,1.024,7.3,34100,407,372,20400,,61,12800,3,<MDL,
8946,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 37 L.t.,Conventional Hydrocarbon,,1965-08-17,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.019,7.2,26400,285,260,15800,,37,9980,3,<MDL,
8974,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 107 L.t.,Conventional Hydrocarbon,,1965-08-17,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.019,6.9,27200,341,260,16200,,39,10300,5,<MDL,
8991,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 107 U. T.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.022,7.4,30900,332,280,18500,,46,11700,2,<MDL,
9056,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 #110 U.t.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.023,7.5,33400,276,244,20100,,63,12700,5,<MDL,
11164,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 #111 L.t.,Conventional Hydrocarbon,,1965-08-17,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.022,7.2,30800,188,384,18600,,41,11600,5,<MDL,
11175,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 111 U.t.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.019,7.6,26400,393,256,15700,,37,9960,2,<MDL,
11189,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 112 U.t.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.018,7.3,25600,356,208,15300,,34,9740,1,<MDL,
11199,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 113 L.t.,Conventional Hydrocarbon,,1965-08-17,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.018,7.1,24700,254,256,14800,,32,9340,8,<MDL,
11221,26.351,-98.598,,Gulf Coast,Starr,Slick A-231 No. 113 U.t.,Conventional Hydrocarbon,,1965-08-17,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.018,7.7,25300,454,216,15000,,34,9580,11,<MDL,
10050,33.493,-102.621,,Permian,Hockley,W. G. Frazier #0 - 1,Conventional Hydrocarbon,,1965-08-16,San Andres,Unknown,4860,4914,5016,1.037,6.4,45075,1711.05,4562,26132.4,,3946.82,6129.71,2592.5,,
10051,33.493,-102.621,,Permian,Hockley,W. G. Frazier #0 - 1,Conventional Hydrocarbon,,1965-08-16,San Andres,Unknown,4914,4990,,1.032,6.3,39797,1702.8,3673,23013.6,,3273.5,6120.79,2012.4,,
10113,31.823,-94.465,,East Texas,Rusk,Remit Wilson #1,Conventional Hydrocarbon,,1965-08-16,Rodessa Hill,Unknown,6072,6123,6123,1.064,6.3,93575,200.03,7362,55434.4,,856.52,27168.18,2553.6,,
6648,26.246,-98.627,,Gulf Coast,Starr,B. G. De Garcia #14,Conventional Hydrocarbon,,1965-08-13,Miller A,Unknown,4240,4253,4271,1.0112,7.82,21282,291.23,162.8,12678.43,,22.25,8111.85,16.18,,
2858,32.1923,-100.6231,4.2353E+13,Permian,Nolan,L. R. Spires C-1,Conventional Hydrocarbon,,1965-08-12,Strawn Reef,Unknown,7190,7198,7260,1.0933,5.9,140594,52.48,7754,86436.3,,1440.97,44601.17,308.31,,
2829,33.21852,-100.6402,4.2353E+13,Permian,Nolan,Swnlu #46-15,Conventional Hydrocarbon,,1965-08-11,Strawn Reef,Unknown,6962,6980,7085,1.0916,4.85,138699,<MDL,6536,85183.01,,1379.78,45287.21,313.29,,
10049,33.493,-102.621,,Permian,Hockley,W. G. Frazier #0 - 1,Conventional Hydrocarbon,,1965-08-10,San Andres,Unknown,4973,4990,5015,1.001,7.4,1484,281.28,156.16,552.55,,88.09,211.21,195.2,,
2866,32.1566,-100.6538,4.2353E+13,Permian,Nolan,S. W. N. L. U. 41-3,Conventional Hydrocarbon,,1965-08-05,Strawn Reef,Unknown,6974,6979,7060,1.0718,6.69,108449,396.57,4364,65471.97,,868.16,36411.19,936.75,,
6561,26.277,-98.566,,Gulf Coast,Starr,Garcia L&6 B #7,Conventional Hydrocarbon,,1965-08-04,4900 Ft Rincon,Unknown,,,,1.0089,7.83,17997,1333.77,64.57,70244.66,,31.28,6729.36,128.13,,X
15808,26.393,-98.569,,Gulf Coast,Starr,Garcia L & L B #7,Conventional Hydrocarbon,,1965-08-04,Rincon,Unknown,,,,1.0089,7.83,17998,1333.77,64.57,9710.66,,31.28,6729.36,128.13,,
2821,32.1761,-100.6524,4.2353E+13,Permian,Nolan,Swnlu 47-2,Conventional Hydrocarbon,,1965-08-03,Strawn Reef,Unknown,6938,6948,7086,1.0574,4.8,67886,<MDL,2374,48039.8,,554.08,15178.98,1738.37,,X
2907,32.1536,-100.6612,4.2353E+13,Permian,Nolan,Swnlu 43-5,Conventional Hydrocarbon,,1965-08-03,Strawn Reef,Unknown,6998,7018,7090,1.0559,6.6,87050,170,2334,50317.86,,985.15,29802.78,3440.12,,
4218,26.4109,-98.5793,4.2427E+13,Gulf Coast,Starr,B. G. De Garcia #26,Conventional Hydrocarbon,,1965-08-03,4900 Rincon,Unknown,4994,4999,6000,1.01,7.9,19789,763.56,56.56,11291.8,,15.15,7564.9,97.97,,
7724,27.035,-98.007,,Gulf Coast,Kleberg,Borregos 399,Conventional Hydrocarbon,,1965-08-03,Catahoula Upper,Unknown,,,,1.011,6.9,12029,112.22,404.4,1071.66,,16.18,3540.52,6884.91,<MDL,
6663,26.246,-98.627,,Gulf Coast,Starr,E. Herman #7,Conventional Hydrocarbon,,1965-08-02,Miller,Unknown,4252,4263,4662,1.0107,7.6,19517,315.34,152.62,11588.69,,22.24,7424.6,14.15,,
4034,26.6964,-98.4813,4.2427E+13,Gulf Coast,Starr,I. V. Montalvo C #33,Conventional Hydrocarbon,,1965-07-30,C 2 South,Unknown,4325,4344,5150,1.0273,7.35,40290,303.05,1701,24266.88,,39.04,13876.77,103.76,,
4087,26.8993,-98.7198,4.2247E+13,Gulf Coast,Jim Hogg,T. T. East a #17,Conventional Hydrocarbon,,1965-07-29,Yegua Lower E,Unknown,5657,5659,5900,1.0069,7.69,13771,2000.71,32.22,6636.48,,10.07,5031.48,60.41,,
2226,32.0179,-102.2201,4.23291E+13,Permian,Midland,2,Conventional Hydrocarbon,,1965-07-27,Unknown,Unknown,13840,13884,13370,1.119,6.6,189912,92.88,10160,116376,,1421.13,61374.91,486.77,,
17426,26.6606,-98.2942,4.2215E+13,Gulf Coast,Hidalgo,A A Mcallen #9,Conventional Hydrocarbon,1964-08-31,1965-07-27,Vicksburg 0-0,Unknown,,,,1.017,6.2,22983,233,1409,13968,,16,7314,10,,
2899,32.1859,-100.6487,4.2353E+13,Permian,Nolan,Swnlu 46-10,Conventional Hydrocarbon,,1965-07-25,Strawn Reef,Unknown,6948,6956,7030,1.1039,4.75,153614,<MDL,9419,94691.44,,1921.89,47168.54,412.86,,
15785,26.6334,-98.4983,4.2427E+13,Gulf Coast,Starr,C M Hall A #5,Conventional Hydrocarbon,1956-11-12,1965-07-24,Vicksburg,Unknown,8481,8496,10853,1.0421,4.32,60192,<MDL,15590,38134.61,,443.93,6007.71,14.59,,
2826,32.1786,-100.6487,4.2353E+13,Permian,Nolan,Swnlu 46-14,Conventional Hydrocarbon,,1965-07-23,Strawn Reef,Unknown,6954,6977,7114,1.0578,6.95,86891,290.9,2902,51704.21,,665.36,29790.82,1538.04,,
2863,32.1566,-100.6494,4.2353E+13,Permian,Nolan,Swnlu 38-16,Conventional Hydrocarbon,,1965-07-23,Strawn Reef,Unknown,6950,6970,7103,1.0461,6.01,68724,145.41,7064,42195.49,,652.77,18270.14,396.47,,
17417,26.6689,-98.3043,4.2215E+13,Gulf Coast,Hidalgo,Woods Christian #11,Conventional Hydrocarbon,1965-03-10,1965-07-23,Vicksburg,Unknown,,,10671,1.022,6.2,27868,262,3419,17023,,79,7052,<MDL,,
2872,32.1882,-100.5882,4.2353E+13,Permian,Nolan,Swnlu 13-2,Conventional Hydrocarbon,,1965-07-22,Strawn Reef,Unknown,6960,7004,7625,1.115,6,170396,49.06,11814,104990.63,,1256.61,52213.22,72.48,,
2895,32.1786,-100.6438,4.2353E+13,Permian,Nolan,Swnlu 46-7,Conventional Hydrocarbon,,1965-07-20,Strawn Reef,Unknown,6940,6954,7100,1.0913,,130554,<MDL,8505,80626.34,,1244.08,40178.39,<MDL,,
2918,32.1471,-100.6296,4.2353E+13,Permian,Nolan,Swnlu 35-13,Conventional Hydrocarbon,,1965-07-20,Strawn Reef,Unknown,6802,6846,7024,1.0242,5.3,37019,48.14,2232,22682.96,,418.9,11459.77,177.19,,
11249,28.58,-97.61,,Gulf Coast,Caldwell,E 37 W M. Baggett #17b,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,2284,,,1.027,6.7,36500,744,2020,21600,,781,10800,550,338,
11250,28.58,-97.61,,Gulf Coast,Caldwell,E-46w M. Baggett #8-a,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,2286,,,1.03,6.7,41400,769,2500,24500,,928,11900,780,326,
11251,28.472,-97.752,,Gulf Coast,Caldwell,E-44w S. E. Denman #1-c,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,,,,1.021,7,27600,622,1200,15900,,468,8640,760,118,
11252,28.58,-97.61,,Gulf Coast,Caldwell,E-36w F. Gray #1-c,Conventional Hydrocarbon,,1965-07-20,Chalk,Unknown,2281,,,1.03,6.6,40700,732,2380,24100,,917,11800,810,330,
11253,28.58,-97.61,,Gulf Coast,Caldwell,E-34w Johnson #7a,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,,,,1.029,6.6,40700,817,2200,24400,,868,12100,320,322,
11256,28.58,-97.61,,Gulf Coast,Caldwell,E-35w J. B. Tiller #6,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,2302,,,1.031,6.6,42700,756,2640,25200,,905,12300,890,312,
11289,28.472,-97.752,,Gulf Coast,Guadalupe,E-43w L. G. Denman #a-13,Conventional Hydrocarbon,,1965-07-20,Edwards,Unknown,2554,,,1.02,7.2,25600,512,1730,14600,,552,7130,1050,128,
4024,26.3748,-98.6114,4.2427E+13,Gulf Coast,Starr,Frost Natl. Bk. B #32-t,Conventional Hydrocarbon,,1965-07-19,Coates Iii,Unknown,3905,3910,5120,1.0154,8.28,25498,1709.93,140.13,14065.32,,26.4,9556.94,<PQL,,
4035,26.6964,-98.4813,4.2427E+13,Gulf Coast,Starr,I. V. Montalvo C #33,Conventional Hydrocarbon,,1965-07-19,O 1 B,Unknown,4740,4744,5150,1.0209,7.68,31383,872.87,940.25,18126.08,,28.59,11102.29,313.42,,
12317,28.472,-97.752,,Gulf Coast,Guadalupe,Mobil Thomas Dix #8,Conventional Hydrocarbon,,1965-07-19,Edwards,Unknown,2648,2652,,1.02,6.5,25800,500,1810,14600,,588,7060,1230,196,
5657,32.067,-101.162,,Permian,Sterling,Erie D. Sellers #2,Conventional Hydrocarbon,,1965-07-17,Wolfcamp Lower,Unknown,6877,6996,7200,1.0706,7.15,102597,933.56,9226,60881.81,,498.9,29195.26,1861.77,,
5658,32.067,-101.162,,Permian,Sterling,Erie D. Sellers #2,Conventional Hydrocarbon,,1965-07-17,Wolfcamp Lower,Unknown,6877,6996,7200,1.0708,7.2,102438,985.14,10028,60802.17,,456.16,28317.31,1849.27,,
6610,26.41,-98.548,,Gulf Coast,Starr,J. F. Hall State #16,Conventional Hydrocarbon,,1965-07-14,Rincon,Unknown,6261,6266,,1.0422,6.62,61729,120.9,7896,38134.1,,196.98,15356.82,23.97,,
8961,26.351,-98.598,,Gulf Coast,Starr,T. B. Slick A 37 L.t.,Conventional Hydrocarbon,,1965-07-14,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.019,6.8,26000,273,280,15600,,29,9830,2,<MDL,
8977,26.351,-98.598,,Gulf Coast,Starr,T. B. Slick A 107 U.t.,Conventional Hydrocarbon,,1965-07-14,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.015,7.6,20300,615,128,11800,,24,7690,<MDL,<MDL,
9035,26.351,-98.598,,Gulf Coast,Starr,T. B. Slick A 110 U.t.,Conventional Hydrocarbon,,1965-07-14,Frio E 1 2 Vicksburg L 2,Unknown,,,,1.024,7.3,33600,403,332,20100,,59,12700,5,<MDL,
11214,26.351,-98.598,,Gulf Coast,Starr,T. B. Slick A 113 L.t.,Conventional Hydrocarbon,,1965-07-14,Frio G 1 2 Vicksburg L 2,Unknown,,,,1.018,6.8,25000,249,260,15000,,39,9450,8,<MDL,
11294,28.894,-98.484,,Gulf Coast,Atascosa,E-22w W. M. Aarant #1-b,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,7589,7593,,1.138,6.4,191000,1020,16000,118000,,2460,53900,62,366,
11295,28.894,-98.484,,Gulf Coast,Atascosa,E-29w Wren & Riveter #6,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,7565,7569,,1.149,5.8,208000,220,18000,129000,,2210,58900,86,133,
11296,28.894,-98.484,,Gulf Coast,Atascosa,M&e Enlow #1,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,7632,7635,,1.13,5.6,181000,203,15500,112000,,2420,50400,66,34,
11304,27.957,-98.741,,Gulf Coast,Atascosa,E-28w Emlia Lujan #1-b,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,6990,7016,,1.066,6.6,94600,915,5320,57400,,1250,29300,380,206,
11307,27.974,-98.619,,Gulf Coast,Atascosa,E-4w Humble H. Schorsch #5,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,7367,7372,,1.125,5.7,171000,386,14600,106000,,2420,47600,75,142,
11312,27.957,-98.741,,Gulf Coast,Atascosa,E-27w E. J. Spuitt #4,Conventional Hydrocarbon,,1965-07-14,Edwards,Unknown,6867,6874,,1.062,6.3,88700,994,4640,53500,,903,28200,415,218,
4382,28.8087,-98.1808,4.20132E+13,Gulf Coast,Atascosa,E-31w J. L. Tom A-1,Conventional Hydrocarbon,,1965-07-13,Edwards,Unknown,10440,10470,10850,1.177,6.1,248000,354,21300,153000,,1910,71300,61,0.3,
11305,27.929,-98.164,,Gulf Coast,Atascosa,E-30w H. A. Schmann #2,Conventional Hydrocarbon,,1965-07-13,Wilcox,Unknown,3776,3786,,1.001,7.4,1680,1070,13,128,,7,457,1,<MDL,
