,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
2,31.86,-101.47,,Permian,Glasscock,,Conventional Hydrocarbon,,2014-01-23,Wolfwood (Wolfcamp/Woodford),Devonian - Pennsylvanian,8789,,,1.095,7.76,127000,,8010,75100,,1130,36800,304,,
3,31.99,-101.49,,Permian,Glasscock,,Tight Oil,,2014-01-23,Cline Shale,Pennsylvanian,9488,,,1.029,8.22,37700,,572,13400,,78.2,12900,<300,,X
4,31.98,-101.49,,Permian,Glasscock,,Conventional Hydrocarbon,,2014-01-23,Fusselman,Silurian,10151,,,1.048,7.4,72400,,2470,40900,,474,22700,1530,,
5,31.97,-101.48,,Permian,Glasscock,,Tight Oil,,2014-01-23,Cline Shale,Pennsylvanian,10151,,,1.025,7.79,36800,,569,21000,,79.3,13000,<300,,
34,31.8,-101.95,,Permian,Midland,,Tight Oil,,2013-09-19,Wolfcamp Shale,Permian (Wolfcampian),9259,,,1.085,6.33,122000,,2520,72300,,322,45300,588,,
35,31.8,-101.95,,Permian,Midland,,Tight Oil,,2013-09-19,Wolfcamp Shale,Permian (Wolfcampian),9551,,,1.075,7.3,105000,,1510,62800,,186,37800,361,,
36,31.84,-101.96,,Permian,Midland,,Tight Oil,,2013-09-19,Wolfcamp Shale,Permian (Wolfcampian),9567,,,1.072,6.54,102000,,1450,60100,,189,37300,660,,
37,31.84,-101.96,,Permian,Midland,,Tight Oil,,2013-09-19,Wolfcamp Shale,Permian (Wolfcampian),10482,,,1.067,6.33,87500,,2840,55300,,339,30300,321,,
38,32.12,-102,,Permian,Martin,,Conventional Hydrocarbon,,2013-07-31,"Spraberry, Wolfcamp, and Pennsylvanian","Permian (Leonardian), Permian (Wolfcampian), Pennsylvanian",9491,,,1.077,6.95,112000,,4430,65700,,523,38000,296,,
464,29.01572,-97.52658,4.21233E+13,Gulf Coast,De Witt,RESPONDEK 1,Tight Gas,,2005-07-27,Austin Chalk,Cretaceous,13420,13446,,,5.5,163049,537,2100,98000,,56,60106,,,
108,29.03352,-97.83872,4.2255E+13,Gulf Coast,Karnes,F W BOYD 2,Conventional Hydrocarbon,,1990-09-08,Edwards,Cretaceous,10906,10920,,,5.9,214000,170,18000,130000,,1500,57000,6,,
107,29.58652,-97.7621,4.2187E+13,Gulf Coast,Guadalupe,L G DENMAN A39,Conventional Hydrocarbon,,1990-09-05,Edwards,Cretaceous,2617,2625,,,6.4,24600,530,16000,14000,,540,6700,770,580,X
106,29.02356,-97.89322,4.22553E+13,Gulf Coast,Karnes,BROCKMAN 1,Conventional Hydrocarbon,,1990-08-24,Edwards,Cretaceous,10838,10863,,,6,231000,260,20000,140000,,1600,61000,4,,
105,29.08171,-97.75041,4.22553E+13,Gulf Coast,Karnes,WIATREK 1,Conventional Hydrocarbon,,1990-08-21,Edwards,Cretaceous,11036,11070,,,6.2,155000,290,14000,95000,,1300,40000,2,,
104,28.8291,-98.15989,4.2013E+13,Gulf Coast,Atascosa,O LIEKE 1,Conventional Hydrocarbon,,1990-08-17,Edwards,Cretaceous,10500,10750,,,5.6,232000,220,17000,140000,,1600,63000,2,590,
103,28.87108,-98.63213,4.2013E+13,Gulf Coast,Atascosa,J C WALLACE 4,Conventional Hydrocarbon,,1990-08-08,Edwards,Cretaceous,7399,7407,,,5.8,203000,420,18000,125000,,2900,51000,120,,
